object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.678582392Z level=info msg="Migration successfully executed" id="Update annotation table charset" duration=70.403µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.682158935Z level=info msg="Executing migration" id="Add column region_id to annotation table"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.684561332Z level=info msg="Migration successfully executed" id="Add column region_id to annotation table" duration=2.400797ms
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.687944968Z level=info msg="Executing migration" id="Drop category_id index"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.688596094Z level=info msg="Migration successfully executed" id="Drop category_id index" duration=652.826µs   
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.692316144Z level=info msg="Executing migration" id="Add column tags to annotation table"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.694527733Z level=info msg="Migration successfully executed" id="Add column tags to annotation table" duration=2.211188ms
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.698087476Z level=info msg="Executing migration" id="Create annotation_tag table v2"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.698552694Z level=info msg="Migration successfully executed" id="Create annotation_tag table v2" duration=466.918µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.708194882Z level=info msg="Executing migration" id="Add unique index annotation_tag.annotation_id_tag_id"    
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.709311627Z level=info msg="Migration successfully executed" id="Add unique index annotation_tag.annotation_id_tag_id" duration=1.115745ms
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.713606299Z level=info msg="Executing migration" id="drop index UQE_annotation_tag_annotation_id_tag_id - v2" 
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.71437203Z level=info msg="Migration successfully executed" id="drop index UQE_annotation_tag_annotation_id_tag_id - v2" duration=778.131µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.717797368Z level=info msg="Executing migration" id="Rename table annotation_tag to annotation_tag_v2 - v2"   
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.727173445Z level=info msg="Migration successfully executed" id="Rename table annotation_tag to annotation_tag_v2 - v2" duration=9.374176ms
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.731896435Z level=info msg="Executing migration" id="Create annotation_tag table v3"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.732471358Z level=info msg="Migration successfully executed" id="Create annotation_tag table v3" duration=580.324µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.735982299Z level=info msg="Executing migration" id="create index UQE_annotation_tag_annotation_id_tag_id - Add unique index annotation_tag.annotation_id_tag_id V3"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.73651932Z level=info msg="Migration successfully executed" id="create index UQE_annotation_tag_annotation_id_tag_id - Add unique index annotation_tag.annotation_id_tag_id V3" duration=542.322µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.740021061Z level=info msg="Executing migration" id="copy annotation_tag v2 to v3"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.740327673Z level=info msg="Migration successfully executed" id="copy annotation_tag v2 to v3" duration=310.012µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.749559644Z level=info msg="Executing migration" id="drop table annotation_tag_v2"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.750050764Z level=info msg="Migration successfully executed" id="drop table annotation_tag_v2" duration=493.62µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.753537904Z level=info msg="Executing migration" id="Update alert annotations and set TEXT to empty"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.753790315Z level=info msg="Migration successfully executed" id="Update alert annotations and set TEXT to empty" duration=271.61µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.757349658Z level=info msg="Executing migration" id="Add created time to annotation table"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.759707552Z level=info msg="Migration successfully executed" id="Add created time to annotation table" duration=2.357395ms
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.871538547Z level=info msg="Executing migration" id="Add updated time to annotation table"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:47.874645772Z level=info msg="Migration successfully executed" id="Add updated time to annotation table" duration=3.108325ms
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:48.064507203Z level=info msg="Executing migration" id="Add index for created in annotation table"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:48.065336336Z level=info msg="Migration successfully executed" id="Add index for created in annotation table" duration=830.933µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:48.186680113Z level=info msg="Executing migration" id="Add index for updated in annotation table"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:48.187422743Z level=info msg="Migration successfully executed" id="Add index for updated in annotation table" duration=745.13µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:48.376625448Z level=info msg="Executing migration" id="Convert existing annotations from seconds to milliseconds"
